	city	type_of_street	name_of_street	number_of_house	type_of_building	num_of_building	year
0	Москва	пер	Новопесковский М.	8			2006
1	Москва	проезд	Дмитровский	4	стр	1	1936
2	Москва	ул	Алтайская	9	к	2	1980
3	Москва	пер	Рижский 1-й	2	к	1	1959
4	Москва	ул	Уральская	19	к	2	1968
5	Москва	ул	Уссурийская	1	к	5	1975
6	Москва	ул	Уссурийская	11	к	1	1972
7	Москва	ул	Уссурийская	11	к	3	1972
8	Москва	ул	Бажова	8			2006
9	Москва	ш	Варшавское	143	к	7	1993
10	Москва	просек	Казанский 1-й	2			2013
11	Москва	ул	Кирпичная	41А			1976
12	Москва	ул	Кожуховская 6-я	3	к	1	2003
13	Москва	ул	Кожуховская 6-я	3	к	2	1951
14	Москва	ул	Кожуховская 6-я	15	к	2	2005
15	Москва	ул	Красноказарменная	8			2012
16	Москва	ул	Машиностроения 1-я	6А			2008
17	Москва	пр-кт	Мира	167			2009
18	Москва	ул	Новороссийская	30	к	1	2003
19	Москва	ул	Столетова	9			2010
20	Москва	ул	Столетова	15			2012
21	Москва	проезд	Сыромятнический	8	к	2	2012
22	Москва	ул	Трофимова	9	к	2	2004
23	Москва	ул	Трофимова	16			1968
24	Москва	ул	Шарикоподшипниковская	20			2003
25	Москва	ул	Энергетическая	2	к	2	2012
26	Москва	проезд	Дмитровский	4	стр	3	1936
27	Москва	проезд	Дмитровский	6	к	1	1965
28	Москва	проезд	Дмитровский	6	к	2	1967
29	Москва	ш	Дмитровское	1	к	1	1932
30	Москва	ш	Дмитровское	3	к	1	1959
31	Москва	ш	Дмитровское	5	к	1	1941
32	Москва	ул	Красноармейская	10	к	2	1984
33	Москва	ул	Красноармейская	16			1960
34	Москва	ул	Лавочкина	44	к	1	1967
35	Москва	пр-кт	Ленинградский	48/2	стр	1	1951
36	Москва	ул	Масловка Верхн.	27	к	2	1971
37	Москва	ул	Масловка Верхн.	29			1966
38	Москва	аллея	Петровско-Разумовская	18			1939
39	Москва	ул	Петрозаводская	5	к	1	1968
40	Москва	ул	Петрозаводская	5	к	2	1969
41	Москва	ул	Петрозаводская	5	к	3	1969
42	Москва	ул	Петрозаводская	11	к	1	1973
43	Москва	ул	Петрозаводская	13	к	1	1973
44	Москва	ул	Петрозаводская	13	к	2	1973
45	Москва	ул	Петрозаводская	15	к	4	1971
46	Москва	ул	Пилота Нестерова	9	к	20	1963
47	Москва	ул	Пилота Нестерова	11			1962
48	Москва	ул	Планетная	2/12			1973
49	Москва	ул	Планетная	12			1961
50	Москва	ул	Степана Супруна	4			1974
51	Москва	ул	Степана Супруна	12	к	3	1969
52	Москва	ул	Тимирязевская	7			1969
53	Москва	ул	Фестивальная	53	к	6	1970
54	Москва	ул	Фестивальная	59	к	1	1971
55	Москва	ул	Фестивальная	61			1969
56	Москва	ул	Фестивальная	63	к	1	1970
57	Москва	ул	Фестивальная	65			1968
58	Москва	ул	Фестивальная	67			1970
59	Москва	пер	Эльдорадовский	5			1958
60	Москва	пер	Эльдорадовский	7			1958
61	Москва	ул	Маршала Катукова	24	к	1	2011
62	Москва	ул	Маршала Катукова	24	к	3	2010
63	Москва	ул	Маршала Катукова	24	к	4	2010
64	Москва	ул	Маршала Катукова	24	к	5	2008
65	Москва	ул	Маршала Катукова	24	к	6	2008
66	Москва	ул	Твардовского	2	стр	4	2012
67	Москва	ул	Твардовского	2	стр	5	2012
68	Москва	ул	Твардовского	12			2009
69	Москва	ул	Твардовского	12	к	1	2009
70	Москва	ул	Твардовского	12	к	2	2012
71	Москва	ул	Твардовского	12	к	3	2013
72	Москва	наб	Карамышевская	34			2015
73	Москва	наб	Карамышевская	36			2015
74	Москва	пр-кт	Маршала Жукова	37	к	2	2014
75	Москва	пр-кт	Маршала Жукова	39	к	6	2010
76	Москва	пр-кт	Маршала Жукова	43	к	5	2011
77	Москва	ул	Маршала Тухачевского	49			2009
78	Москва	пр-кт	Мира	83			2013
79	Москва	ул	Народного Ополчения	11			2012
80	Москва	ул	Саляма Адиля	2	к	1	2011
81	Москва	ул	Днепропетровская	37	к	1	1975
82	Москва	ул	Днепропетровская	37	к	2	1975
83	Москва	ул	Авиационная	77			2008
84	Москва	ул	Авиационная	77	к	1	2010
85	Москва	ул	Авиационная	79			2001
86	Москва	ул	Авиационная	79	к	1	2003
87	Москва	ул	Академика Королева	10			2010
88	Москва	пер	Зачатьевский 1-й	5			2005
89	Москва	пер	Казарменный	3			2009
90	Москва	ул	Маршала Бирюзова	31			2006
91	Москва	ул	Маршала Василевского	13	к	3	1997
92	Москва	ул	Маршала Конева	14			2010
93	Москва	ул	Маршала Соколовского	5			2006
94	Москва	ул	Маршала Соколовского	10	к	1	2001
95	Москва	пер	Молочный	2			2005
96	Москва	ул	Мосфильмовская	8			2011
97	Москва	ул	Мосфильмовская	70			2006
98	Москва	ул	Первомайская	42.			2011
99	Москва	проезд	Погонный	3А			2013
100	Москва	ул	Расплетина	21			2011
101	Москва	ул	Расплетина	22	к	2	2006
102	Москва	ул	Русаковская	31			2009
103	Москва	пер	Филипповский	8	стр	1	2002
104	Москва	ш	Хорошевское	16	к	1	2008
105	Москва	ш	Хорошевское	16	к	2	2008
106	Москва	ул	Сормовская	10	к	1	1974
107	Москва	пер	Афанасьевский Б.	3	стр	3	1914
108	Москва	пер	Афанасьевский Б.	4			1910
109	Москва	пер	Афанасьевский Б.	6			1981
110	Москва	пер	Афанасьевский Б.	15	стр	1	1910
111	Москва	пер	Барыковский	10			1890
112	Москва	пер	Власьевский М.	3			1971
113	Москва	пер	Власьевский М.	6			1966
114	Москва	пер	Власьевский М.	7			1971
115	Москва	пер	Власьевский М.	7А			1910
116	Москва	ул	Волхонка	5/6	стр	4	1886
117	Москва	ул	Волхонка	7/6			1917
118	Москва	пер	Гагаринский	6			1975
119	Москва	пер	Гагаринский	9/5			1910
120	Москва	пер	Гагаринский	22/8	стр	1	1912
121	Москва	пер	Гагаринский	23	стр	1	1910
122	Москва	пер	Гагаринский	23	стр	2	1907
123	Москва	пер	Гагаринский	27			1970
124	Москва	пер	Гагаринский	28			1910
125	Москва	пер	Гагаринский	31			1969
126	Москва	пер	Гагаринский	35			1908
127	Москва	пер	Глазовский	5			1910
128	Москва	б-р	Гоголевский	3			1880
129	Москва	б-р	Гоголевский	8	стр	1	1929
130	Москва	б-р	Гоголевский	8/9	стр	1	1929
131	Москва	пер	Денежный	4			1914
132	Москва	пер	Зачатьевский 1-й	13			1930
133	Москва	ул	Знаменка	13	стр	1	1911
134	Москва	ул	Знаменка	13	стр	4	1911
135	Москва	ул	Знаменка	15	стр	1	1911
136	Москва	пер	Знаменский М.	7/10	стр	2	1912
137	Москва	б-р	Зубовский	16/20	стр	1	1933
138	Москва	пер	Кропоткинский	14			1933
139	Москва	пер	Курсовой	15			1930
140	Москва	пер	Левшинский Б.	3			1957
141	Москва	пер	Левшинский Б.	8А			1928
142	Москва	пер	Левшинский М.	6/8			1958
143	Москва	пер	Левшинский М.	7	стр	1	1911
144	Москва	пер	Левшинский М.	10			1860
145	Москва	пер	Левшинский М.	12			1928
146	Москва	пер	Левшинский М.	14/9	стр	1	1939
147	Москва	пер	Левшинский М.	14/9	стр	2	1947
148	Москва	пер	Мансуровский	6			1932
149	Москва	пер	Мансуровский	10	стр	1	1950
150	Москва	пер	Мансуровский	10	стр	2	1912
151	Москва	пер	Могильцевский М.	4а			1913
152	Москва	пер	Могильцевский М.	4б			1913
153	Москва	пер	Обыденский 2-й	10			1928
154	Москва	ул	Остоженка	1/9			1927
155	Москва	ул	Остоженка	3/14			1909
156	Москва	ул	Остоженка	5			1914
157	Москва	ул	Остоженка	7			1910
158	Москва	ул	Остоженка	14	стр	2	1903
159	Москва	пер	Плотников	2/8			1911
160	Москва	пер	Плотников	3			1830
161	Москва	пер	Плотников	4/5			1890
162	Москва	пер	Плотников	5			1982
163	Москва	пер	Плотников	6/8			1914
164	Москва	пер	Плотников	10			1890
165	Москва	ул	Пречистенка	8/3	стр	2	1916
166	Москва	ул	Пречистенка	17/9			1785
167	Москва	ул	Пречистенка	25			1910
168	Москва	ул	Пречистенка	26			1926
169	Москва	ул	Пречистенка	31/16	стр	1	1930
170	Москва	ул	Пречистенка	32/1	стр	8	1917
171	Москва	наб	Пречистенская	45/1	стр	3	1917
172	Москва	пер	Пречистенский	7			1900
173	Москва	пер	Пречистенский	12			1870
174	Москва	пер	Пречистенский	14	стр	2	1914
175	Москва	пер	Пречистенский	16			1947
176	Москва	пер	Пречистенский	18			1895
177	Москва	пер	Пречистенский	20			1912
178	Москва	пер	Пречистенский	22/4			1913
179	Москва	пер	Сеченовский	7			1907
180	Москва	пер	Сеченовский	8	стр	3	1904
181	Москва	пер	Сивцев Вражек	3			1890
182	Москва	пер	Сивцев Вражек	9			1971
183	Москва	пер	Сивцев Вражек	31/13			1965
184	Москва	б-р	Смоленский	6/8			1967
185	Москва	б-р	Смоленский	10			1905
186	Москва	б-р	Смоленский	22/14			1941
187	Москва	пер	Староконюшенный	5/14			1914
188	Москва	пер	Чистый	3			1996
189	Москва	пер	Чистый	5А			1902
190	Москва	пер	Чистый	6	стр	1	1907
191	Москва	пер	Чистый	6	стр	2	1914
192	Москва	пер	Чистый	8	стр	1	1914
193	Москва	пер	Чистый	8	стр	2	1914
194	Москва	ул	Гиляровского	50			2003
195	Москва	ул	Бурденко	11А	стр	2	1959
196	Москва	ул	Пироговская Б.	29/31			1971
197	Москва	ул	Пироговская Б.	37/43	к	А	1938
198	Москва	ул	Пироговская Б.	37/43	к	Б	1935
199	Москва	ул	Пироговская Б.	37/43	к	В	1900
200	Москва	ул	Пироговская Б.	53/55			1955
201	Москва	ул	Плющиха	9а			1935
202	Москва	ул	Плющиха	11	стр	5	1909
203	Москва	ул	Плющиха	18	стр	1	1957
204	Москва	ул	Плющиха	43/47			1958
205	Москва	пер	Ростовский 4-й	2/1	стр	1	1917
206	Москва	пер	Ростовский 4-й	2/1	стр	2	1917
207	Москва	б-р	Смоленский	3/5	стр	1А	1940
208	Москва	б-р	Смоленский	3/5	стр	1Б	1935
209	Москва	пер	Тружеников 2-й	4	стр	1	1930
210	Москва	пер	Тружеников 2-й	4	стр	2	1930
211	Москва	ул	Новороссийская	18/37			1971
212	Москва	ул	Бориса Жигуленкова	1/20			1958
213	Москва	ул	Бориса Жигуленкова	2			1986
214	Москва	ул	Бориса Жигуленкова	4			1959
215	Москва	ул	Бориса Жигуленкова	6			1957
216	Москва	ул	Бориса Жигуленкова	7			2012
217	Москва	ул	Бориса Жигуленкова	10			1974
218	Москва	ул	Бориса Жигуленкова	12			1976
219	Москва	ул	Бориса Жигуленкова	15			1958
220	Москва	ул	Бориса Жигуленкова	19			1959
221	Москва	ул	Бориса Жигуленкова	25	к	1	1959
222	Москва	ул	Бориса Жигуленкова	25	к	2	1959
223	Москва	ул	Бориса Жигуленкова	25	к	3	1958
224	Москва	ул	Бориса Жигуленкова	25	к	4	1959
225	Москва	ул	Бориса Жигуленкова	27			2002
226	Москва	пр-кт	Буденного	1/1			1968
227	Москва	пр-кт	Буденного	1/1	к	1	1970
228	Москва	пр-кт	Буденного	1/1	к	2	1971
229	Москва	пр-кт	Буденного	11			1961
230	Москва	пр-кт	Буденного	15/2			1965
231	Москва	пр-кт	Буденного	17			1934
232	Москва	пр-кт	Буденного	17	к	1	1941
233	Москва	пр-кт	Буденного	19			1937
234	Москва	пр-кт	Буденного	20	к	1	1962
235	Москва	пр-кт	Буденного	20	к	2	1962
236	Москва	пр-кт	Буденного	20	к	3	1973
237	Москва	пр-кт	Буденного	20	к	4	1972
238	Москва	пр-кт	Буденного	22	к	1	1961
239	Москва	пр-кт	Буденного	22	к	2	1961
240	Москва	пр-кт	Буденного	22	к	3	1963
241	Москва	пр-кт	Буденного	23			1936
242	Москва	пр-кт	Буденного	24	к	1	1960
243	Москва	пр-кт	Буденного	24	к	2	1960
244	Москва	пр-кт	Буденного	24	к	3	1969
245	Москва	пр-кт	Буденного	25			1958
246	Москва	пр-кт	Буденного	27			1957
247	Москва	пр-кт	Буденного	27	к	2	1961
248	Москва	пр-кт	Буденного	27	к	3	1959
249	Москва	пр-кт	Буденного	27	к	4	1962
250	Москва	пр-кт	Буденного	27	к	5	1968
251	Москва	пр-кт	Буденного	28			1983
252	Москва	пр-кт	Буденного	28	к	1	1962
253	Москва	пр-кт	Буденного	28	к	2	1962
254	Москва	пр-кт	Буденного	29/1			1957
255	Москва	пр-кт	Буденного	37	к	1	1963
256	Москва	пр-кт	Буденного	37	к	2	1961
257	Москва	пр-кт	Буденного	37	к	3	1966
258	Москва	пр-кт	Буденного	39	к	1	1962
259	Москва	пр-кт	Буденного	39	к	2	1960
260	Москва	пр-кт	Буденного	39	к	3	1963
261	Москва	пр-кт	Буденного	41/17			1960
262	Москва	ул	Буракова	1	к	1	1962
263	Москва	ул	Буракова	1	к	2	1961
264	Москва	ул	Буракова	3	к	1	1962
265	Москва	ул	Буракова	3	к	2	1961
266	Москва	ул	Буракова	5	к	1	1965
267	Москва	ул	Буракова	5	к	2	1965
268	Москва	ул	Буракова	7	к	2	1963
269	Москва	ул	Буракова	9			1967
270	Москва	ул	Буракова	11			1966
271	Москва	ул	Буракова	11	к	1	1974
272	Москва	ул	Буракова	13			1960
273	Москва	ул	Буракова	15/1			1963
274	Москва	ул	Вельяминовская	6			1978
275	Москва	ул	Вольная	1			1961
276	Москва	ул	Вольная	3			1961
277	Москва	ул	Вольная	4			1967
278	Москва	ул	Вольная	5			1961
279	Москва	ул	Вольная	5	к	1	1966
280	Москва	ул	Вольная	22			1964
281	Москва	пер	Вольный	6			1956
282	Москва	ул	Зверинецкая	6			1963
283	Москва	ул	Зверинецкая	12			1962
284	Москва	ул	Зверинецкая	14			1961
285	Москва	ул	Ибрагимова	5	к	1	1973
286	Москва	ул	Ибрагимова	5А			1961
287	Москва	ш	Измайловское	6			1980
288	Москва	ш	Измайловское	11			1961
289	Москва	ш	Измайловское	13			1965
290	Москва	ш	Измайловское	15			1962
291	Москва	ш	Измайловское	15	к	1	1964
292	Москва	ш	Измайловское	15	к	2	1961
293	Москва	ш	Измайловское	17			1970
294	Москва	ш	Измайловское	19			1970
295	Москва	ш	Измайловское	22			1972
296	Москва	ш	Измайловское	24	к	3	1995
297	Москва	ш	Измайловское	25			1970
298	Москва	ш	Измайловское	27			1970
299	Москва	ш	Измайловское	29			1965
300	Москва	ул	Кирпичная	8			1971
301	Москва	ул	Кирпичная	12			1961
302	Москва	ул	Кирпичная	14			1974
303	Москва	пер	Кирпичный 1-й	14			1961
304	Москва	пер	Кирпичный 1-й	15			1956
305	Москва	пер	Кирпичный 1-й	17			1957
306	Москва	пер	Кирпичный 1-й	19			1958
307	Москва	пер	Кирпичный 1-й	22			1955
308	Москва	пер	Кирпичный 1-й	26			1959
309	Москва	пер	Мажоров	4			1927
310	Москва	пер	Мажоров	8			1911
311	Москва	пер	Медовый	6			1932
312	Москва	пер	Медовый	8			1928
313	Москва	пер	Медовый	12			1932
314	Москва	проезд	Окружной	30			1961
315	Москва	проезд	Окружной	34	к	1	1982
316	Москва	проезд	Окружной	34	к	2	1985
317	Москва	проезд	Окружной	34	к	3	1967
318	Москва	проезд	Окружной	34	к	4	1966
319	Москва	проезд	Окружной	35			1963
320	Москва	проезд	Окружной	36			1962
321	Москва	ул	Семеновская Б.	21			1963
322	Москва	ул	Семеновская Б.	27	к	1	1968
323	Москва	ул	Семеновская Б.	27	к	2	1971
324	Москва	ул	Семеновская Б.	29/2			1963
325	Москва	ул	Семеновская Б.	31	к	1	1995
326	Москва	ул	Семеновская Б.	31	к	2	1995
327	Москва	пер	Семеновский	18			1961
328	Москва	пер	Семеновский	18А			1963
329	Москва	ул	Соколиной Горы 10-я	6	к	1	1994
330	Москва	ул	Соколиной Горы 10-я	8	к	2	1990
331	Москва	ул	Соколиной Горы 10-я	12			1959
332	Москва	ул	Соколиной Горы 10-я	26А			1960
333	Москва	ул	Соколиной Горы 5-я	12			1951
334	Москва	ул	Соколиной Горы 5-я	19			1966
335	Москва	ул	Соколиной Горы 5-я	19	к	1	1974
336	Москва	ул	Соколиной Горы 5-я	19	к	2	1973
337	Москва	ул	Соколиной Горы 5-я	21	к	1	1954
338	Москва	ул	Соколиной Горы 5-я	21	к	2	1956
339	Москва	ул	Соколиной Горы 5-я	21	к	3	1961
340	Москва	ул	Соколиной Горы 5-я	21	к	4	1965
341	Москва	ул	Соколиной Горы 5-я	21	к	5	1961
342	Москва	ул	Соколиной Горы 5-я	23	к	1	1963
343	Москва	ул	Соколиной Горы 5-я	23	к	2	1962
344	Москва	ул	Соколиной Горы 5-я	23	к	3	1959
345	Москва	ул	Соколиной Горы 5-я	25	к	1	1967
346	Москва	ул	Соколиной Горы 5-я	25	к	2	1967
347	Москва	ул	Соколиной Горы 5-я	25	к	3	1974
348	Москва	ул	Соколиной Горы 5-я	25	к	4	1975
349	Москва	ул	Соколиной Горы 5-я	25	к	5	2002
350	Москва	ул	Соколиной Горы 5-я	27			1982
351	Москва	ул	Соколиной Горы 5-я	27	к	1	1952
352	Москва	ул	Соколиной Горы 5-я	27	к	2	1953
353	Москва	ул	Соколиной Горы 5-я	27	к	3	1957
354	Москва	ул	Соколиной Горы 8-я	3			1961
355	Москва	ул	Соколиной Горы 8-я	4			1968
356	Москва	ул	Соколиной Горы 8-я	4	к	1	1973
357	Москва	ул	Соколиной Горы 8-я	6			1958
358	Москва	ул	Соколиной Горы 8-я	8			1969
359	Москва	ул	Соколиной Горы 8-я	8	к	1	1969
360	Москва	ул	Соколиной Горы 8-я	13			1959
361	Москва	ул	Соколиной Горы 8-я	18	к	1	1958
362	Москва	ул	Соколиной Горы 8-я	18	к	2	1959
363	Москва	ул	Соколиной Горы 8-я	20			1959
364	Москва	ул	Соколиной Горы 8-я	20	к	1	2002
365	Москва	ул	Соколиной Горы 8-я	24	к	1	1960
366	Москва	ул	Соколиной Горы 8-я	24	к	2	1956
367	Москва	ул	Соколиной Горы 9-я	1			1964
368	Москва	ул	Соколиной Горы 9-я	3			1967
369	Москва	ул	Соколиной Горы 9-я	13			1958
370	Москва	ул	Соколиной Горы 9-я	15			1958
371	Москва	ул	Соколиной Горы 9-я	17			1970
372	Москва	ул	Соколиной Горы 9-я	19			1971
373	Москва	ул	Соколиной Горы 9-я	21			1970
374	Москва	ул	Щербаковская	7			1967
375	Москва	ул	Щербаковская	8			1966
376	Москва	ул	Щербаковская	9			1970
377	Москва	ул	Щербаковская	11			1966
378	Москва	ул	Щербаковская	16			1960
379	Москва	ул	Щербаковская	20			1957
380	Москва	ул	Щербаковская	26			1959
381	Москва	ул	Щербаковская	32/7			1965
382	Москва	ул	Щербаковская	35			1960
383	Москва	ул	Щербаковская	44А			1956
384	Москва	ул	Артюхиной	1			1969
385	Москва	ул	Артюхиной	2			1959
386	Москва	ул	Артюхиной	2А			1960
387	Москва	ул	Артюхиной	3			1969
388	Москва	ул	Артюхиной	5			1971
389	Москва	ул	Артюхиной	7/7			1971
390	Москва	ул	Артюхиной	8/10			1971
391	Москва	ул	Артюхиной	9			1961
392	Москва	ул	Артюхиной	11			1959
393	Москва	ул	Артюхиной	16			1966
394	Москва	ул	Артюхиной	20			1959
395	Москва	ул	Артюхиной	20	к	2	1978
396	Москва	ул	Артюхиной	20А			1960
397	Москва	ул	Артюхиной	21А			1960
398	Москва	ул	Артюхиной	23			1951
399	Москва	ул	Артюхиной	24			1964
400	Москва	ул	Артюхиной	25			1964
401	Москва	ул	Артюхиной	25	к	2	1996
402	Москва	ул	Артюхиной	26			1964
403	Москва	ул	Артюхиной	26А			1960
404	Москва	ул	Артюхиной	27			1966
405	Москва	ул	Артюхиной	27	к	2	1950
406	Москва	ул	Артюхиной	28			1964
407	Москва	ул	Артюхиной	29/7			1967
408	Москва	ул	Артюхиной	30			1964
409	Москва	пр-кт	Волгоградский	51			1960
410	Москва	пр-кт	Волгоградский	53			1960
411	Москва	пр-кт	Волгоградский	55			1959
412	Москва	пр-кт	Волгоградский	57			1961
413	Москва	пр-кт	Волгоградский	59			1964
414	Москва	пр-кт	Волгоградский	61			1965
415	Москва	пр-кт	Волгоградский	63			1960
416	Москва	пр-кт	Волгоградский	69			1970
417	Москва	пр-кт	Волгоградский	71	к	1	1971
418	Москва	пр-кт	Волгоградский	71	к	2	1972
419	Москва	б-р	Волжский	2/22			1969
420	Москва	б-р	Волжский	4	к	1	1969
421	Москва	б-р	Волжский	4	к	2	1969
422	Москва	б-р	Волжский	4	к	3	1969
423	Москва	б-р	Волжский	6	к	1	1969
424	Москва	б-р	Волжский	8	к	1	1970
425	Москва	б-р	Волжский	8	к	2	2008
426	Москва	б-р	Волжский	12	к	1	1967
427	Москва	б-р	Волжский	12	к	2	1967
428	Москва	б-р	Волжский	12	к	3	1971
429	Москва	б-р	Волжский	14			1968
430	Москва	б-р	Волжский	16	к	1	1968
431	Москва	б-р	Волжский	18	к	1	1970
432	Москва	б-р	Волжский	18	к	2	1970
433	Москва	б-р	Волжский	20			1969
434	Москва	б-р	Волжский	20А			1987
435	Москва	б-р	Волжский	24			1960
436	Москва	б-р	Волжский	26	к	1	1960
437	Москва	б-р	Волжский	26	к	2	1959
438	Москва	б-р	Волжский	26	к	3	1958
439	Москва	б-р	Волжский	26	к	4	1960
440	Москва	б-р	Волжский	28			1959
441	Москва	б-р	Волжский	30			1959
442	Москва	б-р	Волжский	32	к	1	1959
443	Москва	б-р	Волжский	32	к	2	1960
444	Москва	б-р	Волжский	36			1951
445	Москва	б-р	Волжский	40			1972
446	Москва	б-р	Волжский	42			1958
447	Москва	б-р	Волжский	46	к	1	1958
448	Москва	б-р	Волжский	46	к	2	1958
449	Москва	б-р	Волжский	48			1958
450	Москва	б-р	Волжский	50	к	2	1972
451	Москва	б-р	Волжский	50/26			1959
452	Москва	кв-л	Волжский Бульвар 95-й	-	к	3	1987
453	Москва	кв-л	Волжский Бульвар 95-й	-	к	5	1987
454	Москва	кв-л	Волжский Бульвар 95-й	-	к	6	1987
455	Москва	кв-л	Грайвороново 90а	-	к	1	1966
456	Москва	кв-л	Грайвороново 90а	-	к	2	1966
457	Москва	кв-л	Грайвороново 90а	-	к	3	1964
458	Москва	кв-л	Грайвороново 90а	-	к	4	1964
459	Москва	кв-л	Грайвороново 90а	-	к	5	1964
460	Москва	кв-л	Грайвороново 90а	-	к	6	1966
461	Москва	кв-л	Грайвороново 90а	-	к	6А	1966
462	Москва	кв-л	Грайвороново 90а	-	к	7	1966
463	Москва	кв-л	Грайвороново 90а	-	к	8	1966
464	Москва	кв-л	Грайвороново 90а	-	к	9	1965
465	Москва	кв-л	Грайвороново 90а	-	к	10	1965
466	Москва	кв-л	Грайвороново 90а	-	к	11	1965
467	Москва	ул	Грайвороновская	8	к	1	1969
468	Москва	ул	Грайвороновская	8	к	2	1969
469	Москва	ул	Грайвороновская	8А			1989
470	Москва	ул	Грайвороновская	8Б			1988
471	Москва	ул	Грайвороновская	10	к	1	1969
472	Москва	ул	Грайвороновская	10	к	2	1969
473	Москва	ул	Грайвороновская	12	к	1	1969
474	Москва	ул	Грайвороновская	14	к	1	1969
475	Москва	ул	Грайвороновская	14	к	2	1969
476	Москва	ул	Грайвороновская	15			1986
477	Москва	ул	Грайвороновская	16	к	1	1969
478	Москва	ул	Грайвороновская	16	к	2	1969
479	Москва	ул	Грайвороновская	16	к	3	1969
480	Москва	ул	Грайвороновская	16	к	4	1969
481	Москва	ул	Грайвороновская	17			1987
482	Москва	ул	Грайвороновская	18	к	2	1969
483	Москва	ул	Грайвороновская	18	к	3	1969
484	Москва	ул	Грайвороновская	20			1969
485	Москва	ул	Грайвороновская	21			1987
486	Москва	ул	Люблинская	5	к	1	1969
487	Москва	ул	Люблинская	5	к	2	1969
488	Москва	ул	Люблинская	5	к	3	1969
489	Москва	ул	Люблинская	5	к	4	1969
490	Москва	ул	Люблинская	5	к	5	1969
491	Москва	ул	Люблинская	5	к	6	1969
492	Москва	ул	Люблинская	5	к	7	1969
493	Москва	ул	Люблинская	7/2	к	1	1952
494	Москва	ул	Люблинская	7/2	к	2	1950
495	Москва	ул	Люблинская	8			1963
496	Москва	ул	Люблинская	9	к	1	1952
497	Москва	ул	Люблинская	9	к	2	1953
498	Москва	ул	Люблинская	11	к	2	1960
499	Москва	ул	Люблинская	13			1961
500	Москва	ул	Люблинская	17	к	1	1963
501	Москва	ул	Люблинская	17	к	2	1959
502	Москва	ул	Люблинская	17	к	3	1954
503	Москва	ул	Люблинская	19			1961
504	Москва	ул	Люблинская	21	к	1	1960
505	Москва	ул	Люблинская	21А			1969
506	Москва	ул	Люблинская	23			1961
507	Москва	ул	Люблинская	25/1			1958
508	Москва	ул	Люблинская	27/2			1959
509	Москва	ул	Люблинская	29			1962
510	Москва	ул	Люблинская	31/1			1974
511	Москва	ул	Люблинская	33/2	к	1	1966
512	Москва	ул	Люблинская	33/2	к	2	1966
513	Москва	ул	Люблинская	35	к	1	1965
514	Москва	ул	Люблинская	35	к	2	1966
515	Москва	ул	Люблинская	39/2			1999
516	Москва	ул	Люблинская	47			1999
517	Москва	ул	Малышева	2			1969
518	Москва	ул	Малышева	3			1973
519	Москва	ул	Малышева	3	к	2	1963
520	Москва	ул	Малышева	3	к	3	1958
521	Москва	ул	Малышева	5			1973
522	Москва	ул	Малышева	6			1960
523	Москва	ул	Малышева	7			1960
524	Москва	ул	Малышева	13	к	1	1967
525	Москва	ул	Малышева	13	к	2	1975
526	Москва	ул	Малышева	17/14			1955
527	Москва	ул	Малышева	18	к	1	1966
528	Москва	ул	Малышева	19			1968
529	Москва	ул	Малышева	21			1978
530	Москва	ул	Малышева	22			2001
531	Москва	ул	Малышева	24			1974
532	Москва	ул	Малышева	26	к	2	1974
533	Москва	ул	Малышева	28			1970
534	Москва	ул	Малышева	30			1972
535	Москва	ул	Малышева	32			1992
536	Москва	ул	Саратовская	1	к	1	1979
537	Москва	ул	Саратовская	1	к	2	1984
538	Москва	ул	Саратовская	3	к	1	1985
539	Москва	ул	Саратовская	3	к	2	1973
540	Москва	ул	Саратовская	4			1951
541	Москва	ул	Саратовская	5	к	1	1974
542	Москва	ул	Саратовская	5	к	2	1974
543	Москва	ул	Саратовская	6/2			1951
544	Москва	ул	Саратовская	7	к	2	1969
545	Москва	ул	Саратовская	8/1			1951
546	Москва	ул	Саратовская	9			1966
547	Москва	ул	Саратовская	10	к	1	1951
548	Москва	ул	Саратовская	10	к	2	1951
549	Москва	ул	Саратовская	11			1979
550	Москва	ул	Саратовская	12/2			1951
551	Москва	ул	Саратовская	14/1			1955
552	Москва	ул	Саратовская	16	к	1	1954
553	Москва	ул	Саратовская	18/10			1955
554	Москва	проезд	Саратовский 1-й	3			1952
555	Москва	проезд	Саратовский 1-й	4			1963
556	Москва	проезд	Саратовский 1-й	6	к	1	1958
557	Москва	проезд	Саратовский 1-й	6	к	2	1955
558	Москва	проезд	Саратовский 1-й	7	к	1	1963
559	Москва	проезд	Саратовский 1-й	7	к	2	1963
560	Москва	проезд	Саратовский 1-й	8			1960
561	Москва	проезд	Саратовский 1-й	9	к	1	1966
562	Москва	проезд	Саратовский 1-й	9	к	2	1972
563	Москва	проезд	Саратовский 2-й	3			1968
564	Москва	проезд	Саратовский 2-й	5			1966
565	Москва	проезд	Саратовский 2-й	6	к	1	1972
566	Москва	проезд	Саратовский 2-й	6	к	2	1973
567	Москва	проезд	Саратовский 2-й	8			1960
568	Москва	ул	Текстильщиков 11-я	2			1965
569	Москва	ул	Текстильщиков 11-я	4			1961
570	Москва	ул	Текстильщиков 11-я	4А			1962
571	Москва	ул	Текстильщиков 11-я	7			1995
572	Москва	ул	Текстильщиков 11-я	8			1974
573	Москва	ул	Текстильщиков 11-я	9			1995
